SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionRate,Startingfraction,Experiment
Ea,Pp,43,39,0.52439,0.47561,10,0.1,1
Ea,Pp,40,44,0.47619,0.52381,10,0.9,1
Ea,Pp,35,38,0.47945,0.52055,100,0.1,1
Ea,Pp,28,40,0.41176,0.58824,100,0.9,1
Ea,Pp,24,40,0.375,0.625,1000,0.1,1
Ea,Pp,28,32,0.46667,0.53333,1000,0.9,1
Ea,Pp,24,32,0.42857,0.57143,10000,0.1,1
Ea,Pp,30,0,1,0,10000,0.9,1
Ea,Pp,23,9,0.71875,0.28125,100000,0.1,1
Ea,Pp,2,0,1,0,100000,0.9,1
Ea,Pp,19,4,0.82609,0.17391,1000000,0.1,1
Ea,Pp,3,0,1,0,1000000,0.9,1
Ea,Pp,22,12,0.647058824,0.352941176,10,0.9,2
Ea,Pp,8,23,0.258064516,0.741935484,10,0.5,2
Ea,Pp,26,23,0.530612245,0.469387755,10,0.1,2
Ea,Pp,23,31,0.425925926,0.574074074,100,0.9,2
Ea,Pp,13,14,0.481481481,0.518518519,100,0.5,2
Ea,Pp,19,9,0.678571429,0.321428571,100,0.1,2
Ea,Pp,12,5,0.705882353,0.294117647,1000,0.9,2
Ea,Pp,5,5,0.5,0.5,1000,0.5,2
Ea,Pp,7,6,0.538461538,0.461538462,1000,0.1,2
Ea,Pp,37,1,0.973684211,0.026315789,10000,0.9,2
Ea,Pp,36,0,1,0,10000,0.5,2
Ea,Pp,19,14,0.575757576,0.424242424,10000,0.1,2
Ea,Pp,26,1,0.962962963,0.037037037,100000,0.9,2
Ea,Pp,20,3,0.869565217,0.130434783,100000,0.5,2
Ea,Pp,26,3,0.896551724,0.103448276,100000,0.1,2
Ea,Pp,23,0,1,0,300000,0.9,2
Ea,Pp,16,7,0.695652174,0.304347826,300000,0.5,2
Ea,Pp,20,0,1,0,300000,0.1,2
Ea,Pp,10,6,0.625,0.375,10,0.9,3
Ea,Pp,4,10,0.285714286,0.714285714,10,0.6,3
Ea,Pp,16,20,0.444444444,0.555555556,10,0.4,3
Ea,Pp,8,13,0.380952381,0.619047619,10,0.1,3
Ea,Pp,0,7,0,1,100,0.9,3
