Day,DilutionRate,SpeciesA,SpeciesB,SpeciesC,AColonies,BColonies,Ccolonies,Afraction,Bfraction,Cfraction,Startingfraction
5,10,Ea,Pci,Pv,2,0,40,0.047619048,0,0.952380952,1
5,100,Ea,Pci,Pv,18,6,40,0.28125,0.09375,0.625,1
5,1000,Ea,Pci,Pv,21,10,0,0.677419355,0.322580645,0,1
5,10000,Ea,Pci,Pv,10,0,0,1,0,0,1
5,100000,Ea,Pci,Pv,24,0,0,1,0,0,1
5,1000000,Ea,Pci,Pv,29,0,0,1,0,0,1
5,10,Ea,Pci,Pv,4,0,52,0.071428571,0,0.928571429,2
5,100,Ea,Pci,Pv,15,0,43,0.25862069,0,0.74137931,2
5,1000,Ea,Pci,Pv,25,15,0,0.625,0.375,0,2
5,10000,Ea,Pci,Pv,24,8,0,0.75,0.25,0,2
5,100000,Ea,Pci,Pv,39,0,0,1,0,0,2
5,1000000,Ea,Pci,Pv,2,4,0,0.333333333,0.666666667,0,2
5,10,Ea,Pci,Pv,0,0,40,0,0,1,3
5,100,Ea,Pci,Pv,14,0,42,0.25,0,0.75,3
5,1000,Ea,Pci,Pv,31,0,8,0.794871795,0,0.205128205,3
5,10000,Ea,Pci,Pv,18,0,3,0.857142857,0,0.142857143,3
5,100000,Ea,Pci,Pv,22,0,0,1,0,0,3
5,1000000,Ea,Pci,Pv,4,0,0,1,0,0,3
5,10,Ea,Pci,Pv,1,0,33,0.029411765,0,0.970588235,4
5,100,Ea,Pci,Pv,10,0,43,0.188679245,0,0.811320755,4
5,1000,Ea,Pci,Pv,20,15,0,0.571428571,0.428571429,0,4
5,10000,Ea,Pci,Pv,24,3,0,0.888888889,0.111111111,0,4
5,100000,Ea,Pci,Pv,22,0,0,1,0,0,4
5,1000000,Ea,Pci,Pv,4,0,0,1,0,0,4
5,10,Ea,Pa,Pci,0,59,0,0,1,0,1
5,100,Ea,Pa,Pci,25,0,13,0.657894737,0,0.342105263,1
5,1000,Ea,Pa,Pci,20,33,2,0.363636364,0.6,0.036363636,1
5,10000,Ea,Pa,Pci,6,2,0,0.75,0.25,0,1
5,100000,Ea,Pa,Pci,26,0,0,1,0,0,1
5,1000000,Ea,Pa,Pci,9,0,0,1,0,0,1
5,10,Ea,Pa,Pci,0,71,0,0,1,0,2
5,100,Ea,Pa,Pci,0,60,0,0,1,0,2
5,1000,Ea,Pa,Pci,1,31,0,0.03125,0.96875,0,2
5,10000,Ea,Pa,Pci,19,5,0,0.791666667,0.208333333,0,2
5,100000,Ea,Pa,Pci,20,8,0,0.714285714,0.285714286,0,2
5,1000000,Ea,Pa,Pci,4,0,0,1,0,0,2
5,10,Ea,Pa,Pci,0,94,0,0,1,0,3
5,100,Ea,Pa,Pci,10,10,2,0.454545455,0.454545455,0.090909091,3
5,1000,Ea,Pa,Pci,9,32,0,0.219512195,0.780487805,0,3
5,10000,Ea,Pa,Pci,25,9,2,0.694444444,0.25,0.055555556,3
5,100000,Ea,Pa,Pci,25,0,0,1,0,0,3
5,1000000,Ea,Pa,Pci,2,0,1,0.666666667,0,0.333333333,3
5,10,Ea,Pa,Pci,0,76,0,0,1,0,4
5,100,Ea,Pa,Pci,4,24,7,0.114285714,0.685714286,0.2,4
5,1000,Ea,Pa,Pci,15,41,3,0.254237288,0.694915254,0.050847458,4
5,10000,Ea,Pa,Pci,17,15,1,0.515151515,0.454545455,0.03030303,4
5,100000,Ea,Pa,Pci,23,0,1,0.958333333,0,0.041666667,4
5,1000000,Ea,Pa,Pci,6,0,0,1,0,0,4
5,10,Ea,Pci,Pv,7,0,89,0.072916667,0,0.927083333,1
5,10,Ea,Pci,Pv,2,0,79,0.024691358,0,0.975308642,2
5,10,Ea,Pci,Pv,0,0,120,0,0,1,3
5,10,Ea,Pci,Pv,1,0,76,0.012987013,0,0.987012987,4
5,100,Ea,Pci,Pv,60,80,2,0.422535211,0.563380282,0.014084507,1
5,100,Ea,Pci,Pv,49,29,1,0.620253165,0.367088608,0.012658228,2
5,100,Ea,Pci,Pv,33,0,95,0.2578125,0,0.7421875,3
5,100,Ea,Pci,Pv,24,0,74,0.244897959,0,0.755102041,4
5,1000,Ea,Pci,Pv,25,26,0,0.490196078,0.509803922,0,1
5,1000,Ea,Pci,Pv,27,16,0,0.627906977,0.372093023,0,2
5,1000,Ea,Pci,Pv,37,0,36,0.506849315,0,0.493150685,3
5,1000,Ea,Pci,Pv,43,31,0,0.581081081,0.418918919,0,4
